APT_Group,Technique,Year
Molerats,Visual Basic,2020
FIN5,Remote System Discovery,2018
Winter Vivern,Automated Exfiltration,2024
APT38,Clear Windows Event Logs,2019
BITTER,Exploitation for Privilege Escalation,2022
BITTER,Encrypted Channel,2022
APT32,Registry Run Keys / Startup Folder,2019
GALLIUM,Software Packing,2019
Medusa Group,Domain Account,2025
ToddyCat,Non-Application Layer Protocol,2024
Elderwood,Software Packing,2018
Magic Hound,Network Service Discovery,2023
Aquatic Panda,SMB/Windows Admin Shares,2024
Scattered Spider,Email Forwarding Rule,2025
Inception,Software Discovery,2020
Mustang Panda,Exfiltration Over C2 Channel,2025
Medusa Group,Network Service Discovery,2025
Aquatic Panda,Windows Command Shell,2022
PittyTiger,Valid Accounts,2017
Cinnamon Tempest,Windows Service,2023
Wizard Spider,Backup Software Discovery,2023
Lotus Blossom,Windows Service,2025
Volt Typhoon,Local Groups,2023
Chimera,System Network Connections Discovery,2021
admin@338,Local Groups,2017
Sandworm Team,Standard Encoding,2020
Ember Bear,Automated Collection,2024
APT29,Data from Local System,2023
APT32,JavaScript,2020
Sandworm Team,Upload Malware,2024
MuddyWater,Scheduled Task,2020
APT28,Email Accounts,2022
APT19,Drive-by Compromise,2018
OilRig,Automated Collection,2018
BRONZE BUTLER,Malicious File,2018
FIN13,PowerShell,2023
Sidewinder,File and Directory Discovery,2021
Gamaredon Group,Replication Through Removable Media,2025
Leafminer,Tool,2021
APT32,Spearphishing Link,2019
Moonstone Sleet,Virtual Private Server,2024
UNC3886,Lateral Tool Transfer,2025
Velvet Ant,External Remote Services,2025
Saint Bear,JavaScript,2024
The White Company,Malicious File,2019
APT18,At,2017
Kimsuky,Regsvr32,2022
Sidewinder,System Network Configuration Discovery,2021
Lazarus Group,Internal Proxy,2022
TA551,Spearphishing Attachment,2021
TeamTNT,Software Packing,2021
Earth Lusca,DLL,2022
FIN8,Clear Windows Event Logs,2018
SideCopy,Ingress Tool Transfer,2022
FIN7,Match Legitimate Resource Name or Location,2021
APT5,Additional Local or Domain Groups,2024
APT38,Network Device Firewall,2025
Confucius,Scheduled Task,2021
Contagious Interview,Spearphishing via Service,2025
APT1,Spearphishing Attachment,2020
APT19,Command Obfuscation,2023
Moses Staff,Exploit Public-Facing Application,2022
Storm-1811,Tool,2025
GALLIUM,DLL,2019
The White Company,System Time Discovery,2019
FIN7,Masquerade Task or Service,2017
Daggerfly,Scheduled Task,2024
Sidewinder,Encrypted/Encoded File,2021
Sea Turtle,Adversary-in-the-Middle,2024
Gamaredon Group,Fast Flux DNS,2024
Gamaredon Group,Template Injection,2020
EXOTIC LILY,Search Victim-Owned Websites,2022
Cobalt Group,Regsvr32,2018
BRONZE BUTLER,Software Discovery,2020
Lazarus Group,External Proxy,2018
APT3,PowerShell,2017
APT32,Network Service Discovery,2019
LAPSUS$,Domain Account,2022
APT37,Peripheral Device Discovery,2019
Star Blizzard,Spearphishing Attachment,2024
BRONZE BUTLER,Bypass User Account Control,2018
Scattered Spider,Permission Groups Discovery,2025
FIN13,Scheduled Task,2023
Tonto Team,Exploitation for Client Execution,2021
Winter Vivern,Malicious Link,2024
UNC3886,Unix Shell,2025
Darkhotel,System Time Discovery,2021
APT5,System Network Connections Discovery,2024
Wizard Spider,Web Protocols,2020
Higaisa,Encrypted/Encoded File,2021
Winter Vivern,Exploit Public-Facing Application,2024
Gorgon Group,Ingress Tool Transfer,2018
APT38,Data Destruction,2019
APT5,Indicator Removal,2024
PROMETHIUM,Masquerade Task or Service,2020
LAPSUS$,Delete Cloud Instance,2022
Velvet Ant,Exploitation for Stealth,2025
HEXANE,Remote System Discovery,2022
FIN6,Archive Collected Data,2017
Kimsuky,System Service Discovery,2022
Higaisa,Visual Basic,2021
APT32,NTFS File Attributes,2019
Molerats,Code Signing,2017
MuddyWater,Mshta,2018
APT42,Standard Encoding,2025
Winnti Group,Domains,2022
Ember Bear,Scheduled Task,2024
Star Blizzard,Steal Web Session Cookie,2024
Andariel,Malicious File,2021
FIN10,File Deletion,2017
CURIUM,Server,2024
APT5,Keylogging,2024
Sandworm Team,Business Relationships,2020
OilRig,Code Signing Certificates,2024
Star Blizzard,Malicious File,2024
OilRig,Exploitation for Client Execution,2024
APT32,System Information Discovery,2018
APT29,Multi-Factor Authentication Request Generation,2022
Kimsuky,Modify Registry,2020
Sandworm Team,Malicious File,2020
SilverTerrier,Financial Theft,2023
APT12,DNS Calculation,2020
Wizard Spider,Network Share Discovery,2020
Moonstone Sleet,LSASS Memory,2024
VOID MANTICORE,Web Protocols,2026
APT29,Exploit Public-Facing Application,2020
Kimsuky,PowerShell,2019
Tropic Trooper,Encrypted/Encoded File,2019
APT32,LSASS Memory,2019
Kimsuky,Multi-Factor Authentication Interception,2022
Dragonfly,Local Data Staging,2021
Lazarus Group,System Network Configuration Discovery,2017
Kimsuky,Upload Malware,2022
APT28,Process Discovery,2017
APT32,Pass the Hash,2019
APT-C-36,Spearphishing Link,2026
LAPSUS$,Email Addresses,2022
Cleaver,Social Media Accounts,2020
APT3,System Network Connections Discovery,2018
Winter Vivern,Web Portal Capture,2024
APT32,System Owner/User Discovery,2018
Magic Hound,Local Email Collection,2018
Mustang Panda,Timestomp,2025
Daggerfly,Security Account Manager,2024
Gorgon Group,Shortcut Modification,2018
TA505,Credentials In Files,2019
OilRig,Fallback Channels,2018
APT33,Exploitation for Privilege Escalation,2019
Storm-0501,Transfer Data to Cloud Account,2025
Patchwork,Code Signing,2020
Mustang Panda,Web Shell,2025
Star Blizzard,Gather Victim Identity Information,2024
APT3,Indicator Removal from Tools,2018
Scattered Spider,System Network Configuration Discovery,2025
Chimera,Remote Email Collection,2021
Akira,Archive via Utility,2024
Moonstone Sleet,Encrypted/Encoded File,2024
Lazarus Group,Clear Command History,2022
Magic Hound,Web Shell,2022
MirrorFace,Remote System Discovery,2026
Sidewinder,Match Legitimate Resource Name or Location,2021
MuddyWater,Dynamic Data Exchange,2019
UNC3886,Timestomp,2025
Moses Staff,Malware,2022
APT38,Web Protocols,2019
Kimsuky,Hidden Window,2022
Tropic Trooper,Security Software Discovery,2019
Ke3chang,Registry Run Keys / Startup Folder,2018
Sandworm Team,Social Media Accounts,2020
Aquatic Panda,Malware,2022
Lotus Blossom,System Network Configuration Discovery,2025
FIN10,Windows Command Shell,2017
menuPass,File and Directory Discovery,2020
Deep Panda,Regsvr32,2017
Threat Group-3390,Exploit Public-Facing Application,2022
Lazarus Group,Shortcut Modification,2018
VOID MANTICORE,Server,2026
Threat Group-3390,At,2017
Kimsuky,Internal Spearphishing,2022
Cinnamon Tempest,Group Policy Modification,2023
Contagious Interview,Malicious Library,2025
APT3,Local Data Staging,2018
UNC3886,Disable or Modify System Firewall,2025
Inception,Domain Groups,2020
Molerats,Scheduled Task,2020
APT41,File Deletion,2019
TeamTNT,File Deletion,2021
TeamTNT,Container and Resource Discovery,2021
Tonto Team,DLL,2021
Earth Lusca,Windows Service,2022
Higaisa,Process Discovery,2021
INC Ransom,Match Legitimate Resource Name or Location,2024
Lotus Blossom,Local Account,2025
PLATINUM,LSASS Memory,2018
Threat Group-3390,Code Signing Certificates,2023
VOID MANTICORE,Ingress Tool Transfer,2026
TeamTNT,Web Service,2021
Storm-1811,Match Legitimate Resource Name or Location,2025
Ke3chang,Data from Local System,2017
Ember Bear,Match Legitimate Resource Name or Location,2024
MirrorFace,Gather Victim Org Information,2026
Turla,Command Obfuscation,2019
Magic Hound,Malicious Link,2021
ToddyCat,Local Storage Discovery,2024
APT5,File Deletion,2024
Ajax Security Team,Credentials from Web Browsers,2021
Cobalt Group,Exploitation for Client Execution,2018
Lazarus Group,Drive-by Compromise,2018
Turla,Process Discovery,2017
APT-C-36,Execution Guardrails,2026
APT41,Spearphishing Attachment,2019
Turla,Spearphishing Link,2018
INC Ransom,Tool,2024
APT18,Valid Accounts,2017
Wizard Spider,Modify Registry,2020
Leviathan,Web Shell,2019
APT39,Bidirectional Communication,2020
Cobalt Group,Scheduled Task,2018
Chimera,PowerShell,2020
APT38,Rundll32,2021
Malteiro,Encrypted/Encoded File,2024
Ember Bear,Modify Registry,2024
TA551,Standard Encoding,2021
APT33,Spearphishing Attachment,2020
Contagious Interview,Written Content,2026
Indrik Spider,Local Account,2024
APT39,Remote Desktop Protocol,2019
APT42,Indicator Removal,2025
MirrorFace,System Owner/User Discovery,2026
Volt Typhoon,Log Enumeration,2023
Patchwork,Spearphishing Link,2023
Chimera,DNS,2021
MoustachedBouncer,JavaScript,2023
APT1,Automated Collection,2019
Whitefly,LSASS Memory,2020
Gamaredon Group,Internal Spearphishing,2020
Winter Vivern,Virtual Private Server,2024
Gamaredon Group,Reflective Code Loading,2025
Rocke,Dead Drop Resolver,2020
Silent Librarian,Email Forwarding Rule,2021
ZIRCONIUM,Spearphishing Link,2023
WIRTE,Ingress Tool Transfer,2019
FIN8,Ingress Tool Transfer,2018
APT32,Modify Registry,2019
Leviathan,Network Devices,2025
APT41,Service Execution,2020
Lazarus Group,Windows Management Instrumentation,2017
Sea Turtle,Unix Shell,2024
FIN13,Exploit Public-Facing Application,2023
TeamTNT,Local Storage Discovery,2025
APT19,Regsvr32,2018
APT32,Tool,2021
Higaisa,System Time Discovery,2021
VOID MANTICORE,Archive via Utility,2026
Akira,Account Access Removal,2024
Moonstone Sleet,Deobfuscate/Decode Files or Information,2024
FIN13,System Network Connections Discovery,2023
OilRig,Windows Command Shell,2020
Kimsuky,Dynamic-link Library Injection,2026
TA2541,Web Services,2023
Aquatic Panda,Dynamic Linker Hijacking,2024
MirrorFace,SMB/Windows Admin Shares,2026
APT19,Registry Run Keys / Startup Folder,2018
Windshift,Visual Basic,2021
MirrorFace,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,2026
APT37,Native API,2018
Gamaredon Group,Proxy,2025
OilRig,Domains,2024
Sandworm Team,Remote System Discovery,2020
Inception,Data from Local System,2020
APT5,Compromise Host Software Binary,2024
HAFNIUM,Clear Windows Event Logs,2025
LazyScripter,Ingress Tool Transfer,2022
Agrius,Web Shell,2024
APT41,Disable or Modify Tools,2024
menuPass,Remote System Discovery,2017
FIN5,External Remote Services,2018
BRONZE BUTLER,Symmetric Cryptography,2018
Sandworm Team,Native API,2024
Dragonfly,Domains,2021
Gallmaker,PowerShell,2019
ToddyCat,Exfiltration to Cloud Storage,2024
Storm-0501,Exploit Public-Facing Application,2025
Darkhotel,Symmetric Cryptography,2021
FIN8,Malicious File,2018
Confucius,File and Directory Discovery,2021
APT29,Cloud Account,2022
PROMETHIUM,Local Accounts,2020
PROMETHIUM,Code Signing Certificates,2020
Magic Hound,Domain Trust Discovery,2023
RedCurl,Match Legitimate Resource Name or Location,2024
APT-C-36,Masquerade Task or Service,2020
Ember Bear,Malware,2024
FIN6,Spearphishing Attachment,2020
Cobalt Group,Bypass User Account Control,2018
TA505,Fast Flux DNS,2020
Ajax Security Team,Keylogging,2021
Chimera,Network Share Discovery,2021
UNC3886,Prevent Command History Logging,2025
Suckfly,Windows Command Shell,2017
APT3,Additional Local or Domain Groups,2018
MuddyWater,JavaScript,2021
BlackTech,Exploitation for Client Execution,2020
GALLIUM,PowerShell,2019
Lotus Blossom,Local Data Staging,2025
Storm-0501,Private Keys,2025
Turla,Local Groups,2020
Wizard Spider,Kerberoasting,2020
Transparent Tribe,Dynamic Resolution,2021
Confucius,Spearphishing Attachment,2021
Volt Typhoon,Credentials from Password Stores,2023
TeamTNT,Local Account,2021
BRONZE BUTLER,System Service Discovery,2020
Earth Lusca,System Owner/User Discovery,2022
FIN13,Tool,2023
Tropic Trooper,Deobfuscate/Decode Files or Information,2019
Magic Hound,Rundll32,2022
APT28,Password Spraying,2020
APT18,Registry Run Keys / Startup Folder,2019
Gamaredon Group,Non-Application Layer Protocol,2025
APT41,Obfuscated Files or Information,2020
FIN13,System Information Discovery,2023
APT38,Software Packing,2019
APT41,Security Account Manager,2024
OilRig,Credentials from Web Browsers,2020
menuPass,Automated Collection,2020
TA505,Modify Registry,2022
Sandworm Team,Web Shell,2021
APT18,External Remote Services,2017
Wizard Spider,Tool,2021
Lazarus Group,Masquerade Task or Service,2022
Velvet Ant,Process Injection,2025
Silence,Compiled HTML File,2019
Mofang,Malicious Link,2020
Magic Hound,File Deletion,2018
Metador,Windows Management Instrumentation Event Subscription,2023
Velvet Ant,SMB/Windows Admin Shares,2025
APT30,Malicious File,2020
Windigo,Data from Local System,2021
Lotus Blossom,Tool,2025
Thrip,Exfiltration Over Unencrypted Non-C2 Protocol,2018
APT28,Dynamic Data Exchange,2018
Magic Hound,Non-Standard Port,2020
Lazarus Group,Remote Desktop Protocol,2017
Tropic Trooper,System Information Discovery,2020
Contagious Interview,Registry Run Keys / Startup Folder,2025
APT41,Masquerade Task or Service,2021
Equation,Environmental Keying,2019
Aquatic Panda,Match Legitimate Resource Name or Location,2024
TeamTNT,SSH,2021
FIN13,Modify Authentication Process,2023
BlackTech,Spearphishing Attachment,2020
Dragonfly,Query Registry,2021
UNC3886,Compromise Host Software Binary,2025
OilRig,SSH,2018
TA2541,Malware,2023
Agrius,Exfiltration Over C2 Channel,2024
APT28,Archive via Utility,2021
TA505,Dynamic-link Library Injection,2020
Tonto Team,Keylogging,2021
WIRTE,Native API,2026
Lazarus Group,Fallback Channels,2017
Dragonfly,Remote Desktop Protocol,2021
Fox Kitten,Data from Cloud Storage,2020
APT28,Data from Removable Media,2017
APT39,Archive via Utility,2019
RedCurl,System Information Discovery,2024
Contagious Interview,Non-Standard Port,2025
VOID MANTICORE,Phishing,2026
Magic Hound,Masquerade Task or Service,2023
Threat Group-3390,Software Packing,2022
HEXANE,Identify Roles,2022
Storm-0501,Password Managers,2025
Contagious Interview,Windows Command Shell,2025
INC Ransom,Valid Accounts,2024
Cleaver,Tool,2021
Cinnamon Tempest,Deobfuscate/Decode Files or Information,2023
Wizard Spider,Rundll32,2023
FIN7,Remote Desktop Protocol,2021
ZIRCONIUM,Web Services,2021
Scattered Spider,Data Staged,2024
Moonstone Sleet,Ingress Tool Transfer,2024
Dragonfly,Password Cracking,2021
ZIRCONIUM,Hide Infrastructure,2025
APT3,Obfuscated Files or Information,2018
Earth Lusca,Modify Registry,2022
Silence,Ingress Tool Transfer,2020
Earth Lusca,Remote System Discovery,2022
Gamaredon Group,Data from Removable Media,2017
FIN4,GUI Input Capture,2019
Sidewinder,Exploitation for Client Execution,2021
Tropic Trooper,Registry Run Keys / Startup Folder,2020
Ke3chang,External Remote Services,2018
Axiom,Virtual Private Server,2022
FIN7,SSH,2021
Ke3chang,System Network Configuration Discovery,2017
Storm-1811,Lateral Tool Transfer,2025
APT1,LSASS Memory,2017
HAFNIUM,IP Addresses,2021
Patchwork,Bypass User Account Control,2017
LAPSUS$,Confluence,2022
Turla,Deobfuscate/Decode Files or Information,2019
Aoqin Dragon,Masquerading,2022
BlackTech,Tool,2022
Agrius,Exploit Public-Facing Application,2024
TeamTNT,Masquerading,2022
APT28,Remote Data Staging,2021
Higaisa,Binary Padding,2021
APT29,Internet Connection Discovery,2023
Lotus Blossom,Domain Account,2025
Mustang Panda,Mshta,2021
Leviathan,OS Credential Dumping,2019
Scattered Spider,Data Encrypted for Impact,2024
Patchwork,File Deletion,2018
Aquatic Panda,PowerShell,2022
Akira,Match Legitimate Resource Name or Location,2024
Ke3chang,Windows Command Shell,2018
HEXANE,Credentials from Web Browsers,2022
Kimsuky,Web Protocols,2022
ToddyCat,PowerShell,2024
Ke3chang,Exfiltration Over C2 Channel,2017
FIN8,Exploitation for Privilege Escalation,2018
Earth Lusca,Vulnerability Scanning,2022
Magic Hound,Remote Email Collection,2022
Storm-0501,Exfiltration to Cloud Storage,2025
Putter Panda,Dynamic-link Library Injection,2017
Transparent Tribe,Visual Basic,2021
Fox Kitten,Query Registry,2020
Wizard Spider,Malicious Link,2020
Turla,Virtual Private Server,2020
Cobalt Group,Process Injection,2018
RedEcho,Dynamic Resolution,2024
ZIRCONIUM,Msiexec,2021
VOID MANTICORE,Account Manipulation,2026
APT41,Code Signing,2019
FIN13,Registry Run Keys / Startup Folder,2023
Cobalt Group,Exploitation for Privilege Escalation,2018
Medusa Group,Network Share Discovery,2025
Sandworm Team,Email Account,2020
Storm-0501,Process Discovery,2025
Mustang Panda,Tool,2025
Leviathan,Registry Run Keys / Startup Folder,2018
APT28,Exploit Public-Facing Application,2020
Star Blizzard,Web Session Cookie,2024
BRONZE BUTLER,DLL,2020
Gorgon Group,Disable or Modify Tools,2018
APT29,File Deletion,2017
Fox Kitten,Match Legitimate Resource Name or Location,2020
CopyKittens,Hidden Window,2019
Leviathan,External Remote Services,2021
Cobalt Group,CMSTP,2018
HEXANE,System Network Configuration Discovery,2022
LuminousMoth,System Owner/User Discovery,2023
APT39,Input Capture,2020
APT42,Modify Registry,2025
APT29,Tool,2021
Contagious Interview,Encrypted/Encoded File,2025
Volt Typhoon,Clear Network Connection History and Configurations,2023
TeamTNT,Windows Command Shell,2021
Sandworm Team,Data Encrypted for Impact,2023
HAFNIUM,Exploit Public-Facing Application,2021
LAPSUS$,Cloud Account,2022
Storm-0501,Data Encrypted for Impact,2025
Chimera,System Time Discovery,2021
EXOTIC LILY,Social Media,2022
Confucius,Exfiltration to Cloud Storage,2022
FIN7,Identify Roles,2025
TA2541,Asymmetric Cryptography,2023
APT39,PowerShell,2020
Moses Staff,Web Shell,2022
Confucius,Ingress Tool Transfer,2021
APT28,File Deletion,2017
APT38,Compiled HTML File,2022
APT41,Clear Windows Event Logs,2019
ZIRCONIUM,Exfiltration Over C2 Channel,2021
Salt Typhoon,Malware,2025
MirrorFace,Windows Command Shell,2026
TeamTNT,System Information Discovery,2021
Contagious Interview,Email Accounts,2025
APT32,Drive-by Target,2021
Poseidon Group,Match Legitimate Resource Name or Location,2017
LazyScripter,Registry Run Keys / Startup Folder,2021
Magic Hound,Remote System Discovery,2023
Ember Bear,Lateral Tool Transfer,2024
Mustang Panda,Web Service,2022
Lazarus Group,Malicious File,2018
Gorgon Group,PowerShell,2018
INC Ransom,Service Execution,2024
Storm-1811,Masquerade Account Name,2025
GOLD SOUTHFIELD,Exploit Public-Facing Application,2020
Fox Kitten,Data from Network Shared Drive,2020
Lazarus Group,Data Destruction,2019
Aquatic Panda,Clear Command History,2024
Mustang Panda,Local Data Staging,2021
Lazarus Group,Reflective Code Loading,2022
Naikon,Match Legitimate Resource Name or Location,2021
Silence,Video Capture,2019
APT39,File and Directory Discovery,2020
Scattered Spider,Browser Information Discovery,2024
Moses Staff,System Information Discovery,2022
RedCurl,Credentials from Web Browsers,2024
FIN8,Remote System Discovery,2018
FIN4,Malicious Link,2020
Scattered Spider,Social Media Accounts,2025
ToddyCat,Hidden Window,2024
APT3,Credentials from Web Browsers,2020
Threat Group-3390,Windows Management Instrumentation,2018
VOID MANTICORE,Exfiltration Over C2 Channel,2026
Contagious Interview,Proxy,2025
Wizard Spider,Command Obfuscation,2020
HAFNIUM,Code Repositories,2025
Cobalt Group,DNS,2020
Winter Vivern,Command and Scripting Interpreter,2024
OilRig,Compiled HTML File,2018
Daggerfly,Code Signing,2024
Sandworm Team,Service Stop,2024
Lazarus Group,System Network Connections Discovery,2022
Ke3chang,Match Legitimate Resource Name or Location,2022
Magic Hound,System Owner/User Discovery,2018
FIN13,Additional Local or Domain Groups,2023
Mustang Panda,IDE Extensions,2025
Lazarus Group,File and Directory Discovery,2017
APT38,Mark-of-the-Web Bypass,2025
Gorgon Group,Tool,2021
Kimsuky,Employee Names,2022
APT1,Malware,2020
WIRTE,DLL,2026
APT41,Data Encrypted for Impact,2019
APT28,Network Devices,2024
LazyScripter,DNS,2021
Mustang Panda,Remote Desktop Software,2021
Poseidon Group,OS Credential Dumping,2017
ToddyCat,Remote Data Staging,2024
Strider,Hidden File System,2020
Putter Panda,Registry Run Keys / Startup Folder,2017
APT41,Scan Databases,2024
Tropic Trooper,Ingress Tool Transfer,2020
Chimera,Data from Network Shared Drive,2021
Patchwork,Dynamic Data Exchange,2018
Chimera,Remote Data Staging,2021
HEXANE,Bidirectional Communication,2022
GOLD SOUTHFIELD,Remote Access Tools,2020
Threat Group-3390,Exfiltration to Cloud Storage,2022
Volatile Cedar,Ingress Tool Transfer,2021
FIN10,Tool,2021
Sea Turtle,Phishing,2024
Tropic Trooper,Replication Through Removable Media,2020
Agrius,Remote Desktop Protocol,2024
APT33,Spearphishing Link,2018
HEXANE,Domains,2022
Daggerfly,Compromise Software Supply Chain,2024
Carbanak,Rundll32,2017
WIRTE,PowerShell,2019
LuminousMoth,ARP Cache Poisoning,2023
APT29,Local Accounts,2024
Winnti Group,Rootkit,2017
Mustang Panda,Visual Basic,2021
Volt Typhoon,Exploitation for Privilege Escalation,2024
APT28,Malicious File,2018
Sandworm Team,Ingress Tool Transfer,2020
Lazarus Group,Non-Standard Port,2020
Lazarus Group,Exfiltration Over C2 Channel,2017
Turla,Native API,2019
Saint Bear,Exploitation for Client Execution,2024
FIN7,Spearphishing Link,2021
Sandworm Team,Tool,2020
APT28,Match Legitimate Resource Name or Location,2021
TeamTNT,System Network Configuration Discovery,2021
MuddyWater,Web Protocols,2020
Mustang Panda,Scheduled Task,2021
ToddyCat,Data from Local System,2024
CURIUM,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,2024
OilRig,Domain Accounts,2024
BlackByte,Disable or Modify System Firewall,2024
Fox Kitten,Remote System Discovery,2020
Ferocious Kitten,Tool,2021
Ember Bear,Exploitation of Remote Services,2024
APT42,Impersonation,2025
Sidewinder,Local Data Staging,2021
Contagious Interview,Impersonation,2025
Threat Group-3390,Encrypted/Encoded File,2018
Fox Kitten,Valid Accounts,2020
TA577,Spearphishing Link,2024
Stealth Falcon,Command and Scripting Interpreter,2017
APT28,Sharepoint,2018
FIN13,Masquerade Task or Service,2023
Leviathan,One-Way Communication,2018
Confucius,Local Storage Discovery,2021
Turla,PowerShell,2018
Winter Vivern,Web Protocols,2024
FIN13,Ingress Tool Transfer,2023
APT42,Web Protocols,2025
Medusa Group,NTDS,2025
Threat Group-3390,Modify Registry,2018
Higaisa,Exfiltration Over C2 Channel,2021
APT28,Clear Windows Event Logs,2017
Agrius,Archive via Utility,2024
Ember Bear,Data from Local System,2024
OilRig,Domain Groups,2020
APT18,Ingress Tool Transfer,2019
LAPSUS$,Domain Groups,2022
ZIRCONIUM,Exfiltration to Cloud Storage,2021
Fox Kitten,Establish Accounts,2021
Chimera,Automated Collection,2021
Storm-0501,Additional Cloud Roles,2025
Confucius,Web Services,2022
APT19,System Owner/User Discovery,2018
APT28,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,2021
CURIUM,Virtual Private Server,2024
Contagious Interview,Tool,2025
Windshift,Malicious File,2020
APT28,Keylogging,2017
Tropic Trooper,System Network Configuration Discovery,2020
TeamTNT,SSH Authorized Keys,2021
Storm-0501,PowerShell,2025
OilRig,Exploitation for Privilege Escalation,2024
ZIRCONIUM,System Network Configuration Discovery,2021
Patchwork,Local Storage Discovery,2025
Lazarus Group,Domains,2021
BackdoorDiplomacy,Network Service Discovery,2021
Cobalt Group,Spearphishing Link,2018
TeamTNT,Malicious Image,2021
Volt Typhoon,Remote Desktop Protocol,2024
ToddyCat,Exploit Public-Facing Application,2024
MuddyWater,Non-Standard Port,2026
APT32,Exfiltration Over Unencrypted Non-C2 Protocol,2020
BackdoorDiplomacy,Tool,2021
Magic Hound,Windows Host Firewall,2022
INC Ransom,Windows Management Instrumentation,2024
Ember Bear,Archive Collected Data,2024
PittyTiger,Tool,2021
Wizard Spider,Group Policy Preferences,2023
FIN7,Visual Basic,2020
LuminousMoth,Malware,2023
Indrik Spider,Windows Command Shell,2021
CURIUM,Data from Local System,2023
Scattered Spider,Gather Victim Identity Information,2025
Water Galura,Data Encrypted for Impact,2025
HEXANE,Upload Malware,2022
Earth Lusca,System Network Configuration Discovery,2022
Sandworm Team,Exploitation for Client Execution,2020
Magic Hound,Application Layer Protocol,2020
Putter Panda,Disable or Modify Tools,2017
Akira,Valid Accounts,2024
Inception,Regsvr32,2020
Chimera,Network Service Discovery,2021
Play,Disable or Modify Tools,2024
APT29,Domain Fronting,2018
MuddyWater,Impersonation,2026
Kimsuky,Acquire Infrastructure,2024
APT39,Visual Basic,2020
Ajax Security Team,Malicious File,2021
Cobalt Group,Remote Access Tools,2018
FIN5,Command and Scripting Interpreter,2018
Wizard Spider,NTDS,2020
Fox Kitten,Scheduled Task,2020
Leviathan,Windows Management Instrumentation,2018
VOID MANTICORE,Vulnerability Scanning,2026
APT38,File Deletion,2019
Patchwork,Tool,2021
Ke3chang,Valid Accounts,2022
Play,System Information Discovery,2024
Storm-0501,System Information Discovery,2025
Moonstone Sleet,Develop Capabilities,2024
Lazarus Group,Process Discovery,2017
MirrorFace,Disable or Modify Tools,2026
Silence,LSASS Memory,2020
Stealth Falcon,Windows Management Instrumentation,2017
MirrorFace,Code Signing,2026
CURIUM,System Time Discovery,2024
PROMETHIUM,Port Knocking,2020
APT42,Asymmetric Cryptography,2025
Silent Librarian,Email Addresses,2021
APT28,PowerShell,2018
Volt Typhoon,Domain Account,2023
APT28,Malicious Link,2021
Windshift,Obfuscated Files or Information,2021
Chimera,SMB/Windows Admin Shares,2020
Andariel,Software,2021
APT39,Web Shell,2019
Wizard Spider,Valid Accounts,2020
Sandworm Team,File and Directory Discovery,2020
menuPass,Malicious File,2018
LuminousMoth,File and Directory Discovery,2023
Rancor,Spearphishing Attachment,2018
APT3,DLL,2018
Lazarus Group,Archive via Library,2017
Ke3chang,Domain Account,2017
APT-C-36,Windows Management Instrumentation,2026
APT28,Windows Command Shell,2018
Chimera,Scheduled Task,2020
UNC3886,Traffic Signaling,2025
APT28,Remote Email Collection,2018
HEXANE,PowerShell,2022
TA505,Ingress Tool Transfer,2019
Storm-1811,PowerShell,2025
Mustang Panda,Ingress Tool Transfer,2021
Wizard Spider,Spearphishing Attachment,2020
MoustachedBouncer,Software Packing,2023
Ke3chang,Archive Collected Data,2017
Evilnum,Bypass User Account Control,2021
Contagious Interview,Develop Capabilities,2025
Kimsuky,Scheduled Task,2022
Chimera,Match Legitimate Resource Name or Location,2020
Dragonfly,File Deletion,2021
MuddyWater,Remote Desktop Software,2026
HAFNIUM,System Network Configuration Discovery,2023
OilRig,Protocol Tunneling,2020
Confucius,Malicious Link,2021
Aquatic Panda,Tool,2022
Rocke,Clear Linux or Mac System Logs,2020
Medusa Group,Remote System Discovery,2025
Whitefly,Command and Scripting Interpreter,2020
TA551,Web Protocols,2021
Mustang Panda,Registry Run Keys / Startup Folder,2021
APT3,Local Account,2017
Medusa Group,Component Object Model,2025
LAPSUS$,Cloud Accounts,2022
Leviathan,Exploitation for Client Execution,2018
Scattered Spider,NTDS,2024
FIN13,Hidden Files and Directories,2023
APT38,Prevent Command History Logging,2021
Winter Vivern,Drive-by Compromise,2024
Indrik Spider,Windows Management Instrumentation,2021
Leafminer,Credentials from Password Stores,2020
Gamaredon Group,Data Obfuscation,2024
APT39,Deobfuscate/Decode Files or Information,2021
APT41,Local Account,2024
Dark Caracal,Windows Command Shell,2018
Akira,Data Encrypted for Impact,2024
APT-C-36,PowerShell,2026
Mustang Panda,Spearphishing Attachment,2021
Aoqin Dragon,Tool,2022
APT28,External Proxy,2017
Tropic Trooper,Windows Service,2019
Silence,Windows Command Shell,2019
Volatile Cedar,Vulnerability Scanning,2021
APT42,Multi-Factor Authentication Interception,2025
Tropic Trooper,Exploitation for Client Execution,2019
ToddyCat,Security Software Discovery,2024
APT33,Non-Standard Port,2020
APT32,Lateral Tool Transfer,2020
FIN6,Credentials from Password Stores,2020
FIN5,File Deletion,2018
Earth Lusca,PowerShell,2022
Ke3chang,Obfuscated Files or Information,2022
Volt Typhoon,Clear Windows Event Logs,2024
